Category	Subcategory	Start	End
FULLGENOME	fullspan	1	29903
TRS	1AB	64	77
TRS	S	21550	21562
TRS	3a	25379	25392
TRS	E	26231	26244
TRS	M	26467	26480
TRS	6	27035	27048
TRS	7a	27382	27393
TRS	8	27882	27893
TRS	N	28254	28267
TRS	10	29528	29541
GENE	1AB	266	21555
GENE	S	21563	25384
GENE	3a	25393	26220
GENE	3b	25765	26220
GENE	E	26245	26472
GENE	M	26523	27191
GENE	6	27202	27387
GENE	7a	27394	27759
GENE	7b	27756	27887
GENE	8	27894	28259
GENE	N	28274	29533
GENE	9a	28284	28577
GENE	9b	28734	28955
GENE	10	29558	29674
STARTGENE	S	21563	21563
STARTGENE	3a	25393	25393
STARTGENE	3b	25765	25765
STARTGENE	E	26245	26245
STARTGENE	M	26523	26523
STARTGENE	6	27202	27202
STARTGENE	7a	27394	27394
STARTGENE	7b	27756	27756
STARTGENE	8	27894	27894
STARTGENE	N	28274	28274
STARTGENE	9a	28284	28284
STARTGENE	9b	28734	28734
STARTGENE	10	29558	29558
UTR	5putr	1	265
UTR	3putr	29675	29903
SLIP	slip1ab	13462	13468
SLIP	1ab_frameshiftSL1	13476	13503
SLIP	1ab_frameshiftSL2	13488	13542
KNOT	3putrPseudoknotSL1	29609	29644
KNOT	3putrPseudoknotSL1	29629	29657
